Group,Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
vestido,como combinar zapatos animal print con vestido,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00"
vestido,como usar un vestido animal print,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00"
vestido,h&m vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,look con vestido animal print,20,,0.00,1.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,look vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,looks con vestidos animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,looks vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,maquillaje para un vestido animal print,20,,0.00,0.00,,,,"1.00,0.14,0.14,0.00,0.14,0.00,0.00,0.14,0.14,0.00,0.00,0.14"
vestido,maquillaje para vestido animal print,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,mini vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,outfit animal print vestido,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,outfit con vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,outfit vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,outfit vestido animal print corto,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,outfit vestido animal print largo,20,,0.00,0.79,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,outfit vestido camisero animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00"
vestido,que zapatos usar con vestido animal print,20,,0.00,0.86,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00"
vestido,shein vestidos animal print,20,,0.92,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,stradivarius vestido animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00"
vestido,stradivarius vestidos animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00"
vestido,vestido adidas animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido ajustado animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print amarillo,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print asos,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00"
vestido,vestido animal print azul,20,,0.00,1.00,,,,"0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67"
vestido,vestido animal print azul zara,20,,0.00,0.36,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print bebe,20,,0.00,0.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestido animal print bershka,20,,0.00,0.97,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print c&a,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestido animal print cebra,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print cheetah,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print combinar,20,,0.00,1.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00"
vestido,vestido animal print con botas,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print con medias negras,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00"
vestido,vestido animal print con que zapatos,20,,0.00,0.91,,,,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00"
vestido,vestido animal print con zapatillas,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestido animal print con zapatos rojos,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestido animal print cortefiel,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print de zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print gris,20,,0.00,0.38,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print guess,20,,0.96,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print invierno,20,,0.00,1.00,,,,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00"
vestido,vestido animal print largo zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00"
vestido,vestido animal print lefties,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print leopardo,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print manga larga,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print massimo dutti,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print michael kors,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00"
vestido,vestido animal print midi,20,,0.00,0.92,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print outfit,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print para boda,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print pull and bear,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print rojo mango,20,,0.00,1.00,,,,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print rojo zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print rosa,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print rosa zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print serpiente,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestido animal print sfera,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print tirantes,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print zara 2019,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00"
vestido,vestido animal print zara 2020,20,,0.00,1.00,,,,"1.00,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67"
vestido,vestido animal print zara corto,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido animal print zara rojo,20,,0.00,0.71,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00"
vestido,vestido azul animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido azul animal print zara,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestido bershka animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido calvin klein animal print,20,,0.00,1.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00"
vestido,vestido camisa animal print,20,,0.00,1.00,,,,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido camisero animal print mango,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido camisero animal print stradivarius,20,,0.00,0.10,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00"
vestido,vestido camisero animal print zara,20,,0.00,0.92,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido camisero largo animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido camisero print animal,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00"
vestido,vestido camisero zara animal print,20,,0.00,0.83,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido corto animal print zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido cruzado animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido de animal print largo,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido de fiesta animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido de gasa animal print,20,,0.00,1.00,,,,"0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido denny rose animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido estampado animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido fiesta animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido guess animal print,20,,1.27,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido h&m animal print,20,,0.00,0.80,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido largo animal print mango,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido largo animal print rojo,20,,0.00,1.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido largo animal print zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido largo de animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido lefties animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido lencero animal print zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido michael kors animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido midi animal print zara,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido mujer animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido print animal rojo,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido print animal zara,20,,0.00,0.95,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido rojo animal print zara,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00"
vestido,vestido rojo con zapatos animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00"
vestido,vestido rosa animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido scalpers animal print,20,,0.00,0.98,,,,"1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.75,0.50,0.50"
vestido,vestido sfera animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido stradivarius animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido tirantes animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido vans animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00"
vestido,vestido verde animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido zara animal print azul,20,,0.00,0.77,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestido zara animal print rojo,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos animal print 2020,20,,0.00,1.00,,,,"0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos animal print 2022,20,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00"
vestido,vestidos animal print 2023,20,,0.00,1.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.14,0.14,0.14,0.14"
vestido,vestidos animal print amazon,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00"
vestido,vestidos animal print colores,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos animal print manga larga,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos animal print mango,20,,0.40,1.00,,,,"0.00,0.28,1.00,1.00,0.42,0.57,0.00,0.00,0.00,0.00,0.00,0.28"
vestido,vestidos camiseros animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos de animal print elegantes,20,,0.00,0.00,,,,"1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
vestido,vestidos de animal print largos,20,,0.00,1.00,,,,"0.25,1.00,0.50,0.50,0.50,0.50,0.00,0.50,0.50,0.50,0.50,0.50"
vestido,vestidos de baño animal print,20,,0.00,1.00,,,,"1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos de fiesta animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
vestido,vestidos estampado animal print,20,,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
